year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1981,31,63,86.2,191.4,145.2,134.1,125.5,156.3,100.4,91.3,41.4,38.2,118.5,422.9,415.9,233.1,1204.1
1982,38.6,52.7,116.4,156.2,194.1,150.4,184.9,123.3,90.7,58.9,38.9,31.5,129.4,466.6,458.6,188.4,1236.3
1983,26,74.9,54.1,139.9,121.1,152.9,178.2,175.8,77.7,59.3,47.2,25.6,132.4,315.2,506.9,184.3,1132.9
1984,33.4,46.2,61.3,180.9,229.4,151.5,214.1,177.9,87.5,65.8,39.8,27.2,105.3,471.6,543.4,193.1,1315
1985,49.8,74.6,104.6,118.9,170.4,171.7,102.4,98.5,72,82,56.7,25.6,151.6,393.8,372.5,210.7,1127.1
1986,36.4,76,107.6,129.3,133.9,186.7,109.5,138.3,143,84.3,43.5,26.4,138,370.8,434.5,270.8,1214.9
1987,42.6,65,100.7,113.8,197.5,128.1,138.1,137.8,142.1,80.9,49.6,32.3,134,412,404,272.5,1228.5
1988,38.1,66.5,75.2,121.2,199.5,199.1,105.5,123.1,103.9,76.5,67.3,23.7,136.9,395.9,427.8,247.8,1199.8
1989,28.3,59.4,88.6,136.3,223.7,190.9,255,118.2,99.1,68.1,70.3,41.8,111.4,448.6,564.1,237.5,1379.7
1990,28.8,39.9,69.7,149.6,211.4,138.5,209.2,112.8,104.7,58.7,73.9,31.6,110.5,430.7,460.5,237.3,1228.8
1991,41.2,72.5,78.1,149.4,172.7,141.8,147,138,155.3,65.7,49.3,20.3,145.3,400.2,426.8,270.2,1231.2
1992,42.6,48.8,70.2,83.1,215.2,177.1,116.7,136.4,86.2,86.3,36.9,25.6,111.7,368.5,430.3,209.4,1125.1
1993,24.8,32.6,89.6,108.1,143,114.3,108.6,144.4,105.9,95.4,51.7,27.5,83,340.7,367.4,253,1046
1994,32.2,51.7,73.7,131.4,184.4,120.4,146.5,136.8,108.1,71.1,32.9,27,111.4,389.6,403.7,212.2,1116.4
1995,41.5,53.9,83.8,145.2,169.5,246,173.2,232.7,116.2,65.4,53.5,50.1,122.3,398.5,651.9,235.2,1430.9
1996,20.7,85.6,74.6,92.2,172.6,216,147.3,139.6,146.4,63.8,69.6,42.3,156.4,339.4,502.9,279.9,1270.8
1997,28,52.3,86.9,102.1,197.8,156.5,149.2,169.1,131.4,99.8,30.5,26.4,122.5,386.8,474.8,261.7,1229.9
1998,36.2,34.3,51.4,139,161.2,143.5,125,123.6,112.4,96.4,53.6,28.3,96.9,351.5,392.1,262.3,1104.8
