year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1947,167.7,21.8,127.6,214,128.7,123.7,138.1,3.3,165.1,75.8,236.7,92.2,367.8,470.4,265.1,477.6,1494.8
1948,242.6,151.7,147.8,104.4,50.4,157.7,127.5,205.4,223.6,216.9,137.2,231,486.6,302.6,490.6,577.7,1996.3
1949,185.6,170.6,85,183.9,74.1,39.1,75.2,151.3,79.7,226.2,197.9,299.9,587.3,342.9,265.6,503.9,1768.6
1950,132.4,163.9,118.6,130.6,55.8,101.5,178.7,193.3,326.2,173,134.6,79.9,596.3,305,473.4,633.9,1788.6
1951,187.8,112.8,115.1,103.1,55.2,64.2,115.6,170.4,139.2,50.5,250.3,281.6,380.5,273.4,350.2,440,1645.7
1952,178.8,62.2,112.6,80.7,65.3,108.4,108,157.5,105.6,167.7,84.9,176.7,522.5,258.6,373.9,358.1,1408.4
1953,95.5,79.9,42.2,89.2,93,48.8,188.2,139,197.5,133.7,263.2,171.8,352.2,224.4,376,594.4,1542
1954,176.3,140.5,121.2,56.3,113.9,129.9,130.3,151.6,228.1,294.9,270.6,238.1,488.6,291.4,411.8,793.6,2051.7
1955,114,94.2,56.6,100.1,106.5,101.5,47.6,49.2,156.9,135.2,83,236.1,446.3,263.2,198.3,375.1,1281
1956,122.5,53.8,78.8,53.7,92.3,99.4,169.8,193.1,150.9,127.8,96,234.8,412.4,224.8,462.2,374.6,1472.7
1957,228,121,154.9,72.5,71.7,74.7,156.4,149.3,120.4,183.4,78.9,186.5,583.8,299.1,380.4,382.6,1597.7
1958,190.9,117.4,41.7,65.2,111,97.8,141.3,156.4,145.7,152.9,67.7,182.4,494.9,217.9,395.6,366.3,1470.5
1959,69.5,63.5,105.1,119,45.2,102.8,178.1,50.1,53.6,192.2,215.6,260.5,315.4,269.2,331,461.4,1455.1
1960,140.1,159.4,71.9,139.2,71.8,81.9,131,128,103.4,101.7,220.5,193.6,560,282.9,340.9,425.6,1542.4
1961,153.2,165.3,104,138.9,71.8,82.6,129.4,209.4,200.5,232.9,138.3,120.1,512.1,314.7,421.4,571.7,1746.4
1962,292,147.8,60.1,92,77.7,92.6,90.7,236.7,213.8,92.8,98.3,173.6,559.9,229.9,420.1,404.9,1668.3
1963,21.3,34.1,216.3,107.1,145.7,96.8,94.4,134.2,138.9,193.4,229.8,58.6,229,469.1,325.4,562.2,1470.7
1964,86.2,45.1,67.5,113.4,130.1,102.8,117.3,156.8,181.5,134.9,158.3,211.1,189.9,311,376.9,474.7,1504.9
1965,191.8,30.7,102.6,124.1,98.4,150.3,125.6,152.5,177.3,164.6,89.2,208.9,433.5,325.1,428.4,431.1,1615.9
1966,101.4,154.8,150.3,87,126.4,128.9,63,110.4,161.3,120.9,158.3,256.6,465.1,363.7,302.3,440.6,1619.4
1967,133.9,159.8,186.2,85.8,149.1,87.4,142.4,101.2,171.4,299.1,135.7,131.4,550.3,421.1,331,606.2,1783.3
1968,164.4,78.3,175.1,68.8,100.9,65.2,95.5,89.1,180.6,236.1,114.5,84.9,374,344.9,249.7,531.2,1453.4
1969,142.7,62.9,31.7,66,97.3,104,102.2,84.2,110.6,146.3,201,151.9,290.6,194.9,290.5,457.9,1300.8
1970,130.1,157.6,91.9,118,82,80.2,167.1,109,200.2,224.1,215.3,92.5,439.5,291.9,356.3,639.6,1667.9
1971,132.5,132,94.9,61.9,76.2,74.6,86.3,123.9,66.5,194.6,154.3,118.3,357,233,284.7,415.4,1316
1972,179.1,106.1,93.1,180.1,142.7,150.9,75.3,82.7,26.9,84.8,195.9,174.9,403.5,415.9,308.9,307.6,1492.4
1973,142.8,130.5,84.9,79.6,103,99.2,86.1,123.9,95.9,81.7,169,207.9,448.1,267.5,309.3,346.6,1404.5
1974,316.3,149.4,77.5,10.9,85.4,79.3,120.4,122.7,188.4,82.5,226.3,280.7,673.5,173.8,322.4,497.2,1739.8
1975,319.7,63.5,57,94.9,36.5,70.2,120.6,80.1,212.4,118.4,170.5,90.1,663.9,188.4,271,501.3,1434
1976,215.7,113.5,155,76.1,161.4,90.2,73.5,23.5,125.4,189.2,183.7,110.6,419.3,392.5,187.2,498.3,1517.8
1977,124.7,145.6,166.2,140.7,64.3,57.2,70.4,124.8,207.5,246.1,208.6,120.4,380.9,371.2,252.4,662.3,1676.6
1978,177.7,102.2,217.3,30.9,20.7,71.6,95.3,110.7,240.3,113.9,235.6,144.6,400.3,268.9,277.5,589.8,1560.7
1979,140.3,43.6,192.7,92.9,80.6,68.4,109.2,169.8,158.6,189.1,266.9,210.1,328.5,366.2,347.4,614.7,1722.3
1980,113.1,128.5,121.4,13.2,26.4,156.5,141,169.5,248.3,201.3,172.7,269.7,451.7,161,467,622.4,1761.7
1981,198.8,109.1,184.5,35.4,109.8,118.6,111.7,57.8,274.4,224.9,253.3,70,577.6,329.7,288.1,752.6,1748.3
1982,185.9,150.6,182.4,44.6,96.5,90,50.7,170.1,226.4,211.3,270.8,250,406.4,323.5,310.8,708.5,1929.3
1983,259.7,59.3,190.5,65.1,111.8,85.3,54.3,49.5,180,308.9,54.7,230.2,569,367.4,189.1,543.5,1649.1
1984,258,131.8,83.3,60.3,18,76.6,55.3,68,181.3,261.2,238.8,192.1,620,161.6,199.9,681.3,1624.7
1985,70.9,51,97.1,110.5,67.5,75.8,218,294.2,268.2,96.1,137,216.6,314.1,275.1,588,501.3,1703.1
1986,207.3,7.3,213.3,91.3,224.4,67.9,102,132.7,56.3,204.3,290.7,342.9,431.3,529,302.6,551.4,1940.5
1987,80,101.1,185.4,74,79.6,105.3,123.7,167.4,179.7,202.1,129.4,188.1,524,339,396.4,511.2,1615.8
1988,239.1,159.2,202.2,81.3,63.7,32.4,226.4,215.5,184.5,185.5,111,176.2,586.4,347.1,474.3,481,1876.9
1989,213.5,240.2,224.3,84.9,44.4,87,57.9,239.3,108.5,219.1,71,110.6,629.9,353.6,384.2,398.6,1700.8
1990,301.8,330.8,241.2,115.2,62.3,134.1,90.3,138.3,147.9,271.5,89.6,218.8,743.2,418.7,362.7,509,2141.7
1991,176.6,94.4,155.3,177.9,30,127.6,102.6,83.2,137.3,186.7,257.9,195.2,489.7,363.2,313.4,581.9,1724.7
1992,149.9,214.3,255.9,148.5,87,37.5,118.2,268.1,189.7,127.2,244.4,163.4,559.4,491.4,423.8,561.3,2004.1
1993,323.6,64.1,151,163.8,128.2,76.7,132.1,85.3,83.4,61.7,109.4,304.6,551.1,443,294.1,254.5,1684
1994,255.9,112.9,277.3,149.5,36.5,133.7,101.7,140.8,95.6,128.3,190.3,305.3,673.4,463.3,376.2,414.2,1927.9
1995,254.3,236.5,182.5,59.7,85.6,44.5,117.7,35.9,129.2,309,121.5,49,796.2,327.9,198.2,559.7,1625.6
1996,127.2,175.9,67,143.1,89.7,89.1,92.1,68,74.5,285.3,209.3,97,352.1,299.8,249.2,569.1,1518.1
1997,55.8,301.1,141.9,90.6,101.5,78.5,100.2,66.7,149.6,111.2,148.9,236,453.9,333.9,245.3,409.7,1581.7
1998,182.4,223.2,135.5,98.4,57.2,126.4,179.9,187.1,94.5,290.6,211,211,641.5,291.1,493.3,596.1,1997.1
1999,268.5,153.6,141.7,131,122.6,121.3,108,81.4,204.3,113.5,220.6,335.2,633.2,395.3,310.8,538.4,2001.8
2000,216.4,234.7,144.8,73.7,66.8,86,62.4,136.6,219.9,289.1,179.1,243.7,786.3,285.3,284.9,688.1,1953
2001,122.4,96.4,77.2,88,40.8,102.4,119.8,129.1,114.8,256.8,168.4,108.2,462.5,205.9,351.3,540,1424.2
2002,242.3,290.6,141.8,113.6,148.2,183,119.4,105.2,65.1,205.6,211.8,85.3,641.1,403.6,407.6,482.5,1911.8
2003,164.4,81.5,90.7,59.4,157.2,94.8,110.7,49.3,101.6,69.5,222.3,184.3,331.2,307.3,254.8,393.4,1385.7
2004,246.8,95,119.8,131.2,67.3,139.8,89.1,220.3,218.9,216.6,127.4,229.9,526.2,318.3,449.2,562.9,1902.2
2005,252.4,104.8,115.1,135.5,136.5,115.5,44.1,147.1,160,219.5,154,110.8,587.1,387.1,306.7,533.5,1695.4
2006,139.4,94.5,160.1,115.2,138.8,91.6,82.4,105.7,200.5,184.6,314.5,307.2,344.8,414.1,279.8,699.6,1934.6
2007,263,141.6,154.4,63.8,122.8,132.2,121.3,148,111.1,124.4,154.2,168.2,711.8,341.1,401.5,389.6,1705
2008,309.9,175.4,196.8,86.1,29.8,123.7,141.7,192.9,135.7,295.3,142.8,159.4,653.4,312.7,458.2,573.8,1989.4
2009,213.8,62.9,155.1,116.3,145.1,69.7,174.7,296,123.9,174.4,339.7,112.9,436,416.5,540.4,638,1984.4
2010,88.7,75.1,114.8,103.1,41.1,39.2,189.6,106.3,169.9,182.8,198.2,58.2,276.6,259,335.1,550.9,1366.9
2011,162.3,220.7,111.8,88.5,228.1,116.5,97,160,238.6,294.3,233.8,330.1,441.3,428.4,373.5,766.8,2281.8
2012,214.3,138.2,72.2,87,81.9,176.3,157.1,174.4,177.4,178,208.9,241.9,682.7,241.1,507.8,564.3,1907.7
2013,189.7,90.2,51.8,126.9,136.3,75,100.1,98.3,130.2,242.5,130.2,341.5,521.9,315,273.4,502.9,1712.7
2014,276.1,289.3,167.6,98.9,131.3,57.6,107.8,159.2,28.3,277.2,161.5,273.1,906.9,397.8,324.6,467.1,2028
2015,291.3,154.5,206.8,87.9,176.8,107.1,177.6,137.1,47.5,110.3,328.7,381.4,718.9,471.5,421.8,486.5,2206.9
