year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,ann
1976,215.7,113.5,155,76.1,161.4,90.2,73.5,23.5,125.4,189.2,183.7,110.6,1517.8
1977,124.7,145.6,166.2,140.7,64.3,57.2,70.4,124.8,207.5,246.1,208.6,120.4,1676.6
1978,177.7,102.2,217.3,30.9,20.7,71.6,95.3,110.7,240.3,113.9,235.6,144.6,1560.7
1979,140.3,43.6,192.7,92.9,80.6,68.4,109.2,169.8,158.6,189.1,266.9,210.1,1722.3
1980,113.1,128.5,121.4,13.2,26.4,156.5,141,169.5,248.3,201.3,172.7,269.7,1761.7
1981,198.8,109.1,184.5,35.4,109.8,118.6,111.7,57.8,274.4,224.9,253.3,70,1748.3
1982,185.9,150.6,182.4,44.6,96.5,90,50.7,170.1,226.4,211.3,270.8,250,1929.3
1983,259.7,59.3,190.5,65.1,111.8,85.3,54.3,49.5,180,308.9,54.7,230.2,1649.1
1984,258,131.8,83.3,60.3,18,76.6,55.3,68,181.3,261.2,238.8,192.1,1624.7
1985,70.9,51,97.1,110.5,67.5,75.8,218,294.2,268.2,96.1,137,216.6,1703.1
1986,207.3,7.3,213.3,91.3,224.4,67.9,102,132.7,56.3,204.3,290.7,342.9,1940.5
1987,80,101.1,185.4,74,79.6,105.3,123.7,167.4,179.7,202.1,129.4,188.1,1615.8
1988,239.1,159.2,202.2,81.3,63.7,32.4,226.4,215.5,184.5,185.5,111,176.2,1876.9
1989,213.5,240.2,224.3,84.9,44.4,87,57.9,239.3,108.5,219.1,71,110.6,1700.8
1990,301.8,330.8,241.2,115.2,62.3,134.1,90.3,138.3,147.9,271.5,89.6,218.8,2141.7
1991,176.6,94.4,155.3,177.9,30,127.6,102.6,83.2,137.3,186.7,257.9,195.2,1724.7
1992,149.9,214.3,255.9,148.5,87,37.5,118.2,268.1,189.7,127.2,244.4,163.4,2004.1
1993,323.6,64.1,151,163.8,128.2,76.7,132.1,85.3,83.4,61.7,109.4,304.6,1684
1994,255.9,112.9,277.3,149.5,36.5,133.7,101.7,140.8,95.6,128.3,190.3,305.3,1927.9
1995,254.3,236.5,182.5,59.7,85.6,44.5,117.7,35.9,129.2,309,121.5,49,1625.6
1996,127.2,175.9,67,143.1,89.7,89.1,92.1,68,74.5,285.3,209.3,97,1518.1
1997,55.8,301.1,141.9,90.6,101.5,78.5,100.2,66.7,149.6,111.2,148.9,236,1581.7
1998,182.4,223.2,135.5,98.4,57.2,126.4,179.9,187.1,94.5,290.6,211,211,1997.1
1999,268.5,153.6,141.7,131,122.6,121.3,108,81.4,204.3,113.5,220.6,335.2,2001.8
2000,216.4,234.7,144.8,73.7,66.8,86,62.4,136.6,219.9,289.1,179.1,243.7,1953
2001,122.4,96.4,77.2,88,40.8,102.4,119.8,129.1,114.8,256.8,168.4,108.2,1424.2
2002,242.3,290.6,141.8,113.6,148.2,183,119.4,105.2,65.1,205.6,211.8,85.3,1911.8
2003,164.4,81.5,90.7,59.4,157.2,94.8,110.7,49.3,101.6,69.5,222.3,184.3,1385.7
2004,246.8,95,119.8,131.2,67.3,139.8,89.1,220.3,218.9,216.6,127.4,229.9,1902.2
2005,252.4,104.8,115.1,135.5,136.5,115.5,44.1,147.1,160,219.5,154,110.8,1695.4
2006,139.4,94.5,160.1,115.2,138.8,91.6,82.4,105.7,200.5,184.6,314.5,307.2,1934.6
2007,263,141.6,154.4,63.8,122.8,132.2,121.3,148,111.1,124.4,154.2,168.2,1705
2008,309.9,175.4,196.8,86.1,29.8,123.7,141.7,192.9,135.7,295.3,142.8,159.4,1989.4
2009,213.8,62.9,155.1,116.3,145.1,69.7,174.7,296,123.9,174.4,339.7,112.9,1984.4
2010,88.7,75.1,114.8,103.1,41.1,39.2,189.6,106.3,169.9,182.8,198.2,58.2,1366.9
2011,162.3,220.7,111.8,88.5,228.1,116.5,97,160,238.6,294.3,233.8,330.1,2281.8
2012,214.3,138.2,72.2,87,81.9,176.3,157.1,174.4,177.4,178,208.9,241.9,1907.7
2013,189.7,90.2,51.8,126.9,136.3,75,100.1,98.3,130.2,242.5,130.2,341.5,1712.7
2014,276.1,289.3,167.6,98.9,131.3,57.6,107.8,159.2,28.3,277.2,161.5,273.1,2028
2015,291.3,154.5,206.8,87.9,176.8,107.1,177.6,137.1,47.5,110.3,328.7,381.4,2206.9
